/* DATA DESCRIPTION:							
Citation:	Herbert	" Timothy D; Peterson"	" Laura C; Lawrence"	" Kira T; Liu"	 Zhonghui (2017): Plio-Pleistocene tropical alkenone SST reconstructions for ODP Site 117-722. PANGAEA	 https://doi.org/10.1594/PANGAEA.874749	 
	In supplement to: Herbert	 TD et al. (2010): Tropical Ocean Temperatures Over the Past 3.5 Million Years. Science	 328(5985)	 1530-1534	 https://doi.org/10.1126/science.1185435		
Other version:	Plio-Pleistocene Tropical Alkenone SST Reconstructions (URI: https://www.ncdc.noaa.gov/paleo/study/10493)						
Project(s):	Ocean Drilling Program (ODP) (URI: http://www-odp.tamu.edu/)						
Coverage:	LATITUDE: 16.621800 * LONGITUDE: 59.795300						
	DATE/TIME START: 1987-09-07T00:00:00 * DATE/TIME END: 1987-09-13T00:00:00						
	MINIMUM DEPTH	 sediment/rock: 0.040 m * MAXIMUM DEPTH	 sediment/rock: 101.520 m				
Event(s):	"117-722 * LATITUDE: 16.621800 * LONGITUDE: 59.795300 * DATE/TIME START: 1987-09-07T00:00:00 * DATE/TIME END: 1987-09-13T00:00:00 * ELEVATION: -2033.5 m * Penetration: 845.6 m * Recovery: 611.8 m * LOCATION: Arabian Sea * CAMPAIGN: Leg117 (URI: https://doi.org/10.2973/odp.proc.ir.117.1989) * BASIS: Joides Resolution (URI: http://www-odp.tamu.edu/resolutn.html) * DEVICE: Composite Core (COMPCORE) * COMMENT: 88 cores; 845.1 m cored; 0 m drilled; 72.4% recovery"						
Parameter(s):	DEPTH	 sediment/rock [m] (Depth) * GEOCODE * PI: Herbert	 Timothy D (https://orcid.org/0000-0003-1556-4290	 Timothy_Herbert@brown.edu) * COMMENT: mcd			
	AGE [ka BP] (Age) * GEOCODE * PI: Herbert	 Timothy D (https://orcid.org/0000-0003-1556-4290	 Timothy_Herbert@brown.edu)				
	Alkenone	 unsaturation index UK'37 (UK'37) * PI: Herbert	 Timothy D (https://orcid.org/0000-0003-1556-4290	 Timothy_Herbert@brown.edu)			
	Sea surface temperature	 annual mean [¡C] (SST (1-12)) * PI: Herbert	 Timothy D (https://orcid.org/0000-0003-1556-4290	 Timothy_Herbert@brown.edu) * METHOD: SST	 from UK'37		
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)						
Size:	3360 data points						
*/							
Depth [m]	Age [ka BP]	UK'37	SST (1-12) [¡C]		
4.54	115.53	0.951	26.82		
4.58	117.63	0.964	27.2		
4.66	121.13	0.977	27.6		
4.72	123.44	0.981	27.71		
4.78	125.75	0.98	27.69		
4.84	127.49	0.978	27.62		
4.9	128.68	0.979	27.65		
4.95	129.67	0.959	27.07		
5.02	131.05	0.939	26.47		
5.08	132.23	0.932	26.26		
5.14	133.42	0.936	26.37		
5.18	134.21	0.919	25.89		
5.23	135.23	0.909	25.59		
5.28	136.31	0.909	25.58		
5.54	141.9	0.931	26.24
5.6	143.21	0.922	25.97		
5.66	144.51	0.927	26.12		
5.73	146.03	0.925	26.06		
5.78	147.11	0.924	26.02		
5.84	148.4	0.912	25.67		
5.9	149.69	0.913	25.71		
5.96	151	0.931	26.24		
6.02	152.32	0.915	25.77		
6.08	153.64	0.915	25.76		
6.14	155.01	0.913	25.71		
6.2	156.42	0.891	25.05		
6.26	157.83	0.887	24.93		
6.32	159.24	0.887	24.93		
6.38	160.65	0.882	24.79		
6.44	162.06	0.885	24.89		
6.48	163	0.899	25.29		
6.56	164.85	0.902	25.38		
6.62	166.23	0.913	25.7		
6.68	167.61	0.927	26.11		
6.74	168.95	0.918	25.85		
6.8	170.24	0.919	25.89		
6.86	171.53	0.934	26.32		
6.92	172.82	0.915	25.77		
6.98	174.11	0.91	25.61		
7.04	175.4	0.912	25.69		
7.1	176.69	0.916	25.78		
7.16	177.95	0.917	25.83		
7.22	179.21	0.918	25.84		
7.28	180.47	0.918	25.86		
7.34	181.73	0.919	25.87		
7.4	182.99	0.92	25.92		
7.46	184.25	0.934	26.31		
7.52	185.5	0.907	25.54		
7.58	186.7	0.924	26.02		
7.64	187.9	0.921	25.94		
7.69	188.9	0.917	25.82		
7.76	190.3	0.931	26.24		
7.82	191.5	0.935	26.34		
7.88	192.7	0.939	26.47		
7.94	193.9	0.954	26.9		
8	195.1	0.957	27		
8.06	196.3	0.962	27.14		
8.13	197.69	0.966	27.26		
8.18	198.67	0.961	27.13		
8.24	199.84	0.94	26.5		
8.29	200.81	0.952	26.84		
8.36	202.18	0.956	26.98		
8.42	203.35	0.953	26.87		
8.48	204.52	0.943	26.58		
8.54	205.66	0.931	26.24		
8.6	206.77	0.939	26.47		
8.66	207.88	0.935	26.36		
8.73	209.08	0.932	26.26		
8.78	209.78	0.932	26.26		
8.84	210.62	0.937	26.41		
8.9	211.46	0.936	26.39		
8.96	213.11	0.934	26.33		
9.02	214.93	0.936	26.37		
9.08	216.74	0.925	26.06		
9.14	218.56	0.874	24.56		
9.2	220.38	0.896	25.2		
9.26	222.19	0.859	24.11		
9.32	224.31	0.857	24.06		
9.38	226.74	0.884	24.85		
9.44	229.17	0.884	24.84		
9.5	231.6	0.912	25.68		
9.56	234.03	0.924	26.04		
9.62	236.45	0.936	26.37		
9.68	238.88	0.951	26.83		
9.74	241.31	0.954	26.91		
9.8	243.74	0.954	26.92		
9.86	246.16	0.956	26.98		
9.92	248.59	0.956	26.98		
9.98	251.02	0.963	27.19		
10.04	253.45	0.966	27.26		
10.1	255.88	0.936	26.37		
10.16	258.3	0.929	26.18		
10.22	260.73	0.923	25.99		
10.28	263.16	0.933	26.28		
10.34	265.59	0.89	25.03		
10.4	267.35	0.873	24.52		
10.46	269.12	0.873	24.54		
10.54	271.47	0.867	24.35		
10.58	272.65	0.86	24.15		
10.64	274.41	0.859	24.11		
10.7	276.18	0.853	23.94		
10.76	277.94	0.861	24.19		
10.82	279.71	0.868	24.38		
10.88	281.47	0.869	24.41		
10.94	283.24	0.874	24.56		
11	285	0.882	24.8		
11.06	286.22	0.876	24.62		
11.12	287.44	0.854	23.98		
11.18	288.66	0.866	24.32		
11.24	289.87	0.857	24.07		
11.3	291.09	0.832	23.32		
11.36	292.31	0.851	23.89		
11.42	293.53	0.843	23.64		
11.48	294.75	0.855	23.99		
11.54	295.97	0.847	23.76		
11.6	297.19	0.865	24.3		
11.66	298.4	0.858	24.08		
11.72	299.62	0.861	24.19		
11.78	300.84	0.859	24.11		
11.84	302.06	0.868	24.39		
11.9	303.28	0.896	25.21		
11.96	304.5	0.911	25.66		
12.02	305.71	0.917	25.81		
12.08	306.93	0.93	26.22		
12.14	308.15	0.932	26.27		
12.2	309.19	0.888	24.98		
12.26	310.23	0.892	25.09		
12.32	311.24	0.899	25.28		
12.38	312.14	0.882	24.8		
12.44	313.03	0.886	24.91		
12.5	313.93	0.909	25.6		
12.56	314.83	0.903	25.41		
12.62	315.72	0.916	25.78		
12.68	316.62	0.932	26.25		
12.74	317.52	0.91	25.61		
12.8	318.43	0.919	25.88		
12.86	319.34	0.927	26.11		
12.92	320.25	0.937	26.4		
12.98	321.15	0.947	26.7		
13.04	322.05	0.946	26.67		
13.1	322.95	0.936	26.37		
13.16	323.88	0.948	26.74		
13.22	324.81	0.949	26.76		
13.28	325.74	0.955	26.93		
13.34	326.68	0.962	27.16		
13.4	327.64	0.968	27.32		
13.46	328.6	0.973	27.47		
13.52	329.57	0.951	26.83		
13.58	330.57	0.944	26.61		
13.64	331.58	0.929	26.18		
13.7	332.58	0.912	25.68		
13.76	333.59	0.898	25.26		
13.82	334.59	0.891	25.07		
13.88	335.6	0.886	24.91		
13.94	336.72	0.882	24.78		
14	337.95	0.899	25.29		
14.06	339.18	0.872	24.51		
14.13	340.61	0.906	25.49		
14.18	341.64	0.885	24.87		
14.24	342.87	0.887	24.93		
14.3	344.1	0.887	24.93		
14.36	345.4	0.886	24.9		
14.42	346.72	0.891	25.06		
14.48	348.04	0.888	24.98		
14.54	349.42	0.89	25.02		
14.6	350.86	0.892	25.1		
14.66	352.3	0.873	24.54		
14.72	353.78	0.858	24.09		
14.78	355.46	0.862	24.22		
14.84	357.14	0.851	23.88		
15.24	367.94	0.872	24.5		
15.3	369.56	0.873	24.53		
15.36	371.18	0.876	24.61		
15.42	372.8	0.881	24.75		
15.48	374.42	0.873	24.52		
15.54	376.04	0.882	24.79		
15.6	377.66	0.906	25.5		
15.66	379.28	0.895	25.17		
15.72	380.9	0.897	25.23		
15.78	382.52	0.919	25.87		
15.84	384.14	0.932	26.26		
15.9	385.76	0.938	26.45		
15.96	387.38	0.948	26.73		
16.02	389	0.939	26.47		
16.08	391.22	0.95	26.79		
16.14	393.44	0.946	26.67		
16.2	395.66	0.92	25.92		
16.26	397.89	0.919	25.89		
16.32	400.11	0.945	26.66		
16.38	402.33	0.956	26.97		
16.44	404.55	0.965	27.24		
16.5	406.77	0.953	26.89		
16.56	408.99	0.973	27.46		
16.62	411.22	0.971	27.42		
16.66	412.08	0.962	27.15		
16.74	413.8	0.961	27.13		
16.8	415.09	0.953	26.88		
16.86	416.25	0.948	26.73		
16.92	417.39	0.949	26.76		
16.98	418.53	0.945	26.65		
17.04	419.76	0.873	24.53		
17.1	421.08	0.876	24.62		
17.16	422.4	0.878	24.69		
17.22	423.72	0.869	24.4		
17.28	425.04	0.86	24.16		
17.34	426.36	0.857	24.05		
17.4	427.68	0.859	24.13		
17.46	429.18	0.87	24.45		
17.52	430.71	0.848	23.8		
17.58	432.24	0.861	24.19		
17.64	433.69	0.877	24.66		
17.7	435.07	0.88	24.73		
17.76	436.45	0.871	24.48		
17.84	438.29	0.868	24.38		
17.88	439.21	0.876	24.62		
17.94	440.59	0.858	24.08		
18	441.97	0.865	24.3		
18.06	443.38	0.864	24.26		
18.12	444.79	0.857	24.07		
18.18	446.2	0.863	24.24		
18.24	447.64	0.864	24.27		
18.3	449.11	0.876	24.63		
18.36	450.58	0.894	25.16		
18.42	451.98	0.906	25.51		
18.48	453.06	0.892	25.1		
18.54	454.14	0.89	25.03		
18.6	455.22	0.872	24.49		
18.66	456.23	0.895	25.17		
18.72	457.22	0.904	25.43		
18.78	458.21	0.909	25.58		
18.84	459.2	0.889	25.01		
18.9	460.19	0.867	24.34		
18.96	461.18	0.876	24.63		
19.03	462.31	0.886	24.91		
19.08	463.09	0.883	24.83		
19.14	464.02	0.898	25.25		
19.2	464.95	0.912	25.69		
19.26	465.85	0.881	24.75		
19.32	466.75	0.862	24.2		
19.44	468.69	0.878	24.69		
19.5	469.86	0.883	24.81		
19.56	471.03	0.9	25.31
19.62	472.25	0.916	25.8		
19.68	473.75	0.909	25.6		
19.74	475.25	0.89	25.04		
19.8	476.75	0.873	24.52		
19.86	478.36	0.89	25.02		
19.92	479.99	0.908	25.56		
19.98	481.62	0.913	25.72		
20.04	483.51	0.935	26.36		
20.1	485.66	0.946	26.68		
20.16	487.81	0.945	26.65		
20.22	490	0.952	26.84		
20.28	492.34	0.952	26.85		
20.34	494.68	0.958	27.02		
20.4	497.02	0.946	26.67		
20.46	499.66	0.944	26.61		
20.52	502.36	0.941	26.53		
20.58	505.06	0.933	26.3		
20.64	507.62	0.93	26.22		
20.7	510.03	0.925	26.06		
20.76	512.45	0.926	26.1		
20.82	514.87	0.922	25.98		
20.88	517.28	0.928	26.16		
20.94	519.7	0.926	26.09		
21	525.08	0.91	25.62		
21.06	531.06	0.906	25.49		
21.12	537.03	0.893	25.11		
21.18	543.01	0.907	25.53		
21.24	548.57	0.907	25.53		
21.3	553.7	0.923	25.99		
21.36	558.83	0.929	26.17		
21.42	563.59	0.946	26.69		
21.48	566.53	0.941	26.53		
21.54	569.47	0.959	27.07		
21.6	572.41	0.932	26.26		
21.66	574.85	0.934	26.32		
21.72	577.29	0.939	26.47		
21.78	579.73	0.948	26.74		
21.86	582.99	0.954	26.91		
21.9	584.62	0.932	26.26		
21.96	587.06	0.921	25.95		
22.03	589.91	0.927	26.12		
22.08	591.94	0.941	26.53		
22.14	594.38	0.937	26.42		
22.2	596.82	0.94	26.49		
22.26	599.26	0.952	26.86		
22.32	601.71	0.965	27.24		
22.38	604.15	0.949	26.77		
22.44	606.59	0.961	27.13		
22.5	609.03	0.958	27.03		
22.56	611.47	0.954	26.9		
22.62	613.91	0.957	27		
22.68	616.35	0.963	27.19		
22.74	618.79	0.963	27.17		
22.8	621.24	0.97	27.37		
22.86	623.68	0.916	25.78		
22.92	626.12	0.912	25.69		
22.98	628.56	0.903	25.41		
23.04	631	0.883	24.83		
23.1	632.72	0.889	25.01		
23.16	634.44	0.897	25.24		
23.22	636.16	0.903	25.42		
23.28	637.88	0.914	25.73		
23.34	639.6	0.896	25.22		
23.4	641.32	0.904	25.43		
23.46	643.05	0.91	25.61		
23.52	644.77	0.907	25.54		
23.58	646.49	0.918	25.85		
23.64	648.21	0.916	25.79		
23.7	649.93	0.923	25.99		
23.76	651.65	0.93	26.2		
23.83	653.66	0.921	25.94		
23.88	655.09	0.927	26.11		
23.94	656.81	0.92	25.92		
24	658.53	0.926	26.08		
24.06	660.25	0.922	25.98		
24.12	661.97	0.911	25.64		
24.18	663.69	0.923	25.99		
24.24	665.41	0.925	26.06		
24.3	667.14	0.923	26.01		
24.36	668.86	0.924	26.02		
24.42	670.58	0.936	26.39		
24.48	672.3	0.904	25.44		
24.54	674.02	0.915	25.76		
24.6	675.74	0.926	26.1		
24.66	677.46	0.932	26.27		
24.72	679.18	0.938	26.45		
24.78	680.9	0.94	26.49		
24.84	682.62	0.934	26.31		
24.9	684.34	0.917	25.82		
24.99	686.92	0.93	26.2		
25.05	688.64	0.945	26.66		
25.11	690.36	0.944	26.61		
25.17	692.09	0.945	26.64		
25.23	693.81	0.957	27.01		
25.29	695.53	0.953	26.89		
25.35	697.25	0.953	26.88		
25.41	698.97	0.955	26.95		
25.47	700.69	0.955	26.95		
25.53	702.41	0.956	26.96		
25.59	706.06	0.956	26.97		
25.65	708.37	0.957	26.99		
25.71	710.68	0.961	27.12		
25.77	712.79	0.964	27.2		
25.83	713.93	0.956	26.98		
25.89	715.07	0.903	25.42		
25.95	716.21	0.894	25.14		
26.01	717.23	0.888	24.96		
26.08	718.38	0.888	24.96		
26.13	719.21	0.88	24.74		
26.19	720.2	0.89	25.03		
26.25	721.19	0.898	25.25		
26.31	722.18	0.924	26.02		
26.37	723.36	0.93	26.22		
26.43	725.49	0.926	26.1		
26.49	727.62	0.921	25.94		
26.55	729.75	0.916	25.78		
26.61	732.25	0.926	26.1		
26.67	734.83	0.926	26.1		
26.73	737.41	0.931	26.23		
26.79	739.75	0.918	25.86		
26.85	741.85	0.931	26.24		
26.91	743.95	0.927	26.12		
26.97	745.92	0.932	26.27		
27.03	747.22	0.927	26.13		
27.09	748.52	0.92	25.9		
27.14	749.61	0.892	25.08		
27.21	751.04	0.885	24.88		
27.27	752.24	0.887	24.94		
27.33	753.44	0.883	24.83		
27.39	754.96	0.869	24.42		
27.45	756.81	0.87	24.43		
27.51	758.66	0.876	24.63		
27.57	760.51	0.903	25.4		
27.63	762.35	0.922	25.98		
27.69	764.2	0.93	26.21		
27.75	766.05	0.935	26.36		
27.81	767.9	0.943	26.6		
27.87	769.34	0.926	26.09		
27.93	770.79	0.934	26.32		
28	772.47	0.946	26.68		
28.05	773.67	0.964	27.2		
28.11	775.12	0.951	26.83		
28.17	776.59	0.946	26.69		
28.23	778.2	0.95	26.79		
28.29	779.81	0.96	27.08		
28.35	781.42	0.961	27.11		
28.41	782.94	0.954	26.91		
28.47	784.44	0.924	26.02		
28.53	785.95	0.895	25.17		
28.59	787.45	0.888	24.98		
28.65	788.95	0.874	24.56		
28.71	790.45	0.87	24.43		
28.77	792.01	0.88	24.73		
28.83	793.84	0.853	23.93		
28.89	795.67	0.855	24		
28.94	797.19	0.864	24.27		
29.01	799.9	0.864	24.25		
29.07	802.42	0.854	23.97		
29.13	804.94	0.877	24.65		
29.19	807.31	0.874	24.56		
29.25	809.53	0.875	24.58		
29.31	811.75	0.912	25.67		
29.37	813.86	0.922	25.97		
29.43	815.42	0.934	26.33		
29.49	816.98	0.935	26.36		
29.55	818.54	0.935	26.35		
29.61	820.23	0.943	26.59		
29.67	821.94	0.951	26.82		
29.73	823.65	0.956	26.97		
29.79	825.45	0.952	26.84		
29.85	827.34	0.955	26.93		
29.91	829.23	0.932	26.26		
29.97	831.1	0.939	26.46		
30.03	832.9	0.938	26.44		
30.09	834.7	0.918	25.86		
30.15	836.5	0.917	25.82		
30.21	838.08	0.925	26.06		
30.27	839.61	0.933	26.3		
30.33	841.14	0.92	25.9		
30.39	842.67	0.943	26.6		
30.45	844.2	0.961	27.11		
30.51	846.52	0.966	27.25		
30.57	848.85	0.944	26.61		
30.63	851.17	0.94	26.5		
30.69	853.49	0.94	26.51		
30.75	855.81	0.959	27.05		
30.81	857.78	0.963	27.17		
30.87	859.67	0.969	27.36		
30.93	861.56	0.963	27.17		
30.99	863.34	0.956	26.96		
31.05	865.02	0.92	25.91		
31.11	866.7	0.892	25.08		
31.17	868.35	0.882	24.8		
31.23	869.85	0.874	24.57		
31.29	871.35	0.856	24.03		
31.35	872.85	0.864	24.25		
31.41	874.33	0.875	24.6		
31.47	875.8	0.863	24.23		
31.53	877.27	0.87	24.43		
31.59	878.71	0.866	24.32		
31.65	880.12	0.866	24.32		
31.71	881.53	0.865	24.3		
31.77	882.92	0.865	24.3		
31.83	884.21	0.862	24.21		
31.89	885.5	0.856	24.02		
31.95	886.79	0.864	24.25		
32.01	888.05	0.826	23.15		
32.07	889.31	0.845	23.71		
32.13	890.57	0.829	23.23		
32.19	891.86	0.833	23.35		
32.25	893.18	0.843	23.65		
32.31	894.5	0.857	24.07		
32.37	895.84	0.857	24.07		
32.43	897.25	0.865	24.3		
32.49	898.66	0.885	24.87		
32.55	900.07	0.887	24.95		
32.61	901.53	0.899	25.3		
32.67	903	0.91	25.61		
32.73	904.47	0.916	25.8		
32.79	905.94	0.913	25.7		
32.85	907.41	0.908	25.55		
32.91	908.88	0.904	25.44		
32.98	910.55	0.917	25.81		
33.03	911.68	0.917	25.81		
33.09	913.03	0.917	25.81		
33.15	914.38	0.913	25.72		
33.21	915.55	0.838	23.5		
33.27	916.69	0.817	22.89		
33.33	917.83	0.838	23.49		
33.39	918.85	0.823	23.06		
33.45	919.75	0.854	23.97		
33.51	920.65	0.856	24.03		
33.57	921.55	0.861	24.18		
33.63	922.45	0.884	24.85		
33.69	923.35	0.883	24.83		
33.75	924.25	0.895	25.18		
33.81	925.18	0.911	25.64		
33.87	926.11	0.929	26.19		
33.93	927.04	0.909	25.58		
33.99	928.18	0.903	25.41		
34.05	929.53	0.913	25.7		
34.11	930.88	0.907	25.52		
34.17	932.36	0.903	25.42		
34.23	934.49	0.914	25.74		
34.29	936.62	0.911	25.64		
34.35	938.75	0.916	25.78		
34.41	941.63	0.922	25.96		
34.47	944.66	0.919	25.88		
34.53	947.69	0.938	26.44		
34.59	950.48	0.95	26.8		
34.65	953.03	0.952	26.84		
34.71	955.58	0.94	26.51		
34.77	957.86	0.943	26.59		
34.83	958.82	0.975	27.53		
34.89	959.78	0.973	27.46		
34.95	960.74	0.922	25.98		
35.01	961.6	0.938	26.44		
35.07	962.44	0.908	25.55		
35.13	963.28	0.896	25.21		
35.19	964.11	0.892	25.08		
35.25	964.92	0.91	25.62		
35.31	965.73	0.919	25.88		
35.37	966.55	0.925	26.05		
35.43	967.42	0.932	26.25		
35.49	968.29	0.93	26.22		
35.54	969.01	0.934	26.32		
35.61	970.3	0.934	26.33		
35.67	971.5	0.934	26.32		
35.73	972.7	0.924	26.02		
35.79	974.07	0.937	26.41		
35.85	975.6	0.958	27.04		
35.91	977.13	0.953	26.89		
35.97	978.68	0.95	26.8		
36.03	980.33	0.928	26.16		
36.09	981.98	0.919	25.89		
36.15	983.63	0.921	25.95		
36.21	985.25	0.928	26.15		
36.27	986.87	0.893	25.12		
36.33	988.49	0.915	25.75		
36.39	990.1	0.916	25.78		
36.45	991.69	0.91	25.63		
36.51	993.28	0.91	25.61		
36.57	994.85	0.911	25.66		
36.63	996.32	0.923	25.99		
36.69	997.79	0.935	26.36		
36.74	999.01	0.944	26.62		
36.81	1000.55	0.951	26.81		
36.87	1001.81	0.945	26.66		
36.93	1003.07	0.941	26.52		
36.99	1004.33	0.929	26.17		
37.05	1005.59	0.916	25.8		
37.11	1006.85	0.91	25.63		
37.17	1008.13	0.91	25.61		
37.23	1009.48	0.913	25.7		
37.29	1010.83	0.923	26.01		
37.34	1011.95	0.92	25.9		
37.41	1013.7	0.928	26.14		
37.47	1015.26	0.94	26.51		
37.53	1016.82	0.93	26.22		
37.59	1018.64	0.931	26.23		
37.65	1020.71	0.928	26.16		
37.71	1022.78	0.946	26.67		
37.77	1024.84	0.946	26.67		
37.83	1026.85	0.95	26.78		
37.89	1028.86	0.95	26.79		
37.95	1030.87	0.938	26.44		
38.01	1032.6	0.924	26.02		
38.07	1034.28	0.922	25.97		
38.13	1035.96	0.919	25.88		
38.19	1037.72	0.914	25.73		
38.25	1039.55	0.915	25.76		
38.31	1041.38	0.92	25.92		
38.37	1043.2	0.919	25.89		
38.43	1044.97	0.915	25.76		
38.49	1046.74	0.9	25.32		
38.55	1048.51	0.902	25.39		
38.61	1050.3	0.894	25.15		
38.67	1052.1	0.889	24.99		
38.73	1053.9	0.902	25.38		
38.79	1055.73	0.895	25.19		
38.85	1057.59	0.903	25.4		
38.91	1059.45	0.915	25.77		
38.97	1061.28	0.933	26.29		
39.03	1062.93	0.941	26.54		
39.09	1064.58	0.95	26.79		
39.15	1066.23	0.95	26.8		
39.21	1068.5	0.953	26.87		
39.27	1070.9	0.97	27.39		
39.33	1073.3	0.971	27.41		
39.39	1075.78	0.959	27.05		
39.45	1078.33	0.949	26.75		
39.51	1080.88	0.946	26.69		
39.57	1083.43	0.95	26.78		
39.63	1086.01	0.947	26.7		
39.69	1088.59	0.946	26.68		
39.75	1091.17	0.942	26.56		
39.81	1093.35	0.931	26.24		
39.87	1095.45	0.93	26.21		
39.93	1097.55	0.928	26.16		
39.99	1099.42	0.924	26.03		
40.05	1101.07	0.944	26.63		
40.11	1102.72	0.944	26.61		
40.17	1104.37	0.952	26.85		
40.23	1106.02	0.962	27.16		
40.35	1109.31	0.959	27.07		
40.41	1110.96	0.957	26.99		
40.47	1112.61	0.934	26.32		
40.53	1114.26	0.931	26.23		
40.59	1115.91	0.918	25.84		
40.65	1117.56	0.916	25.79		
40.71	1119.2	0.892	25.09		
40.77	1120.85	0.886	24.92		
40.83	1122.5	0.884	24.85		
40.89	1127.98	0.922	25.96		
40.95	1133.47	0.904	25.43		
41.01	1137.45	0.921	25.94		
41.07	1141.13	0.928	26.15		
41.13	1144.8	0.947	26.71		
41.19	1148.48	0.957	27.01		
41.25	1152.16	0.944	26.62		
41.31	1155.84	0.938	26.45		
41.37	1159.37	0.949	26.76		
41.43	1162.16	0.95	26.78		
41.49	1164.95	0.936	26.38		
41.55	1167.74	0.957	27.01		
41.61	1169.95	0.959	27.07		
41.67	1172.05	0.957	27		
41.73	1174.15	0.952	26.84		
